frame,truth,target,Lip,bnd
0,83,0,0.0012751059273194525,783.8457227412168
0,83,62,0.0012750930505711561,783.853591797852
0,83,74,0.001275171249448494,783.8054758482906
0,83,53,0.0012752762846872537,783.7409194880058
0,83,27,0.0012752680234719269,783.7459965795483
0,83,26,0.0012750205742211675,783.89810185813
0,83,82,0.0012756090997254777,783.5364361834157
0,83,64,0.0012752859949711252,783.7349519271294
0,83,79,0.0012754773147395358,783.6173928080724
0,83,71,0.0012749647336421216,783.9323880765033
1,83,0,0.0956206559639864,10.387931824415285
1,83,62,0.09562135482385965,10.387855279658348
1,83,26,0.09562041695142502,10.387957166717957
1,83,74,0.09562095953287947,10.387898222393034
1,83,8,0.09562091249859982,10.38790270867803
1,83,71,0.09562124229878405,10.387866880527875
1,83,53,0.09562231860807253,10.387749956385333
1,83,36,0.09562133861389038,10.387855793952815
1,83,64,0.09562265812045496,10.38771245089813
1,83,1,0.09562116955626769,10.387874159616125
2,55,1,0.0018588107540439959,537.5804097214951
2,55,8,0.0018588168457270497,537.5786479720902
2,55,22,0.0018587914638119169,537.5859565762233
2,55,26,0.0018589343361986605,537.5446392541426
2,55,63,0.0018587553716769465,537.5963950799655
2,55,68,0.0018588448467226526,537.5705180079194
2,55,19,0.001858886644832784,537.5584304329305
2,55,69,0.0018587043691650914,537.6111466278545
2,55,0,0.00185900184811608,537.5250856028235
2,55,32,0.0018587117397665526,537.6089826978263
3,83,0,0.0001119425849024036,8932.462937770522
3,83,79,0.00011194100778159409,8932.588785960195
3,83,71,0.00011194371459567843,8932.372794761199
3,83,74,0.00011193584415134424,8933.0008486557
3,83,27,0.00011194177791384566,8932.52733191826
3,83,64,0.0001119592514717082,8931.133226195496
3,83,62,0.0001119354813175707,8933.029804571812
3,83,82,0.00011193815505906057,8932.816431281835
3,83,36,0.00011191957173695862,8934.299651798532
3,83,69,0.00011196909671838678,8930.347927284385
4,83,0,0.0016364341537386778,610.6089405661597
4,83,82,0.0016364341560343386,610.608939709571
4,83,64,0.0016364275066507734,610.6113844059523
4,83,79,0.0016364816264522325,610.5911909822324
4,83,5,0.0016365256101571143,610.5747805682549
4,83,71,0.0016365416547110237,610.5687945305916
4,83,74,0.0016365158450960017,610.578423857175
4,83,80,0.0016365036418047704,610.5829768970434
4,83,2,0.0016365562309802624,610.5633563947248
4,83,63,0.0016364778497851196,610.5926001059006
5,41,24,0.0010295474318072623,970.8799627629318
5,41,63,0.0010296538106379554,970.7796561607369
