1,48,46,56,38,30,56,38,68,6.18E+00,1
2,0,0,0,0,0,0,0,0,1.00E+01,
3,0,0,0,0,0,0,0,0,1.00E+01,
4,0,0,0,0,0,0,0,0,1.00E+01,
5,0,0,0,0,0,0,0,0,1.00E+01,
6,0,0,0,0,0,0,0,0,1.00E+01,
7,0,0,0,0,0,0,0,0,1.00E+01,
8,0,0,0,0,0,0,0,0,1.00E+01,
,,,,,,,,,,
1,48,46,56,38,30,56,38,68,6.18E+00,2
2,50,46,52,34,52,40,52,40,5.89E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,78,56,82,82,106,82,72,60,7.40E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,52,44,44,64,44,54,40,46,6.17E+00,
7,52,46,48,44,62,48,56,56,6.41E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,48,46,56,38,30,56,38,68,6.18E+00,3
2,50,46,52,34,52,40,52,40,5.89E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,0,0,0,0,0,0,0,0,0.00E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,52,44,44,64,44,54,40,46,6.17E+00,
7,52,46,48,44,62,48,56,56,6.41E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,48,46,56,38,30,56,38,68,6.18E+00,4
2,50,46,52,34,52,40,52,40,5.89E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,52,44,44,64,44,54,40,46,6.17E+00,
7,0,0,0,0,0,0,0,0,0.00E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0.00E+00,5
2,50,46,52,34,52,40,52,40,5.89E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,52,44,44,64,44,54,40,46,6.17E+00,
7,8,12,8,10,10,10,12,12,2.70E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,24,30,52,30,28,22,26,38,4.92E+00,6
2,50,46,52,34,52,40,52,40,5.89E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,0,0,0,0,0,0,0,0,0.00E+00,
7,8,12,8,10,10,10,12,12,2.70E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,24,30,52,30,28,22,26,38,4.92E+00,7
2,0,0,0,0,0,0,0,0,0.00E+00,
3,28,56,22,22,32,42,26,26,4.94E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,8,18,10,10,18,8,16,20,3.10E+00,
7,8,12,8,10,10,10,12,12,2.70E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,24,30,52,30,28,22,26,38,4.92E+00,8
2,24,26,28,16,10,16,36,22,4.29E+00,
3,0,0,0,0,0,0,0,0,0.00E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,8,18,10,10,18,8,16,20,3.10E+00,
7,8,12,8,10,10,10,12,12,2.70E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
,,,,,,,,,,
1,24,30,52,30,28,22,26,38,4.60E+00,9
2,24,26,28,16,10,16,36,22,4.29E+00,
3,0,0,0,0,0,0,0,0,4.73E+00,
4,16,16,18,14,16,22,12,22,3.72E+00,
5,28,20,14,34,16,30,24,20,4.30E+00,
6,8,18,10,10,18,8,16,20,3.10E+00,
7,8,12,8,10,10,10,12,12,2.70E+00,
8,18,14,36,10,24,30,14,16,4.15E+00,
